title,date_index0,date_index1,date_index10,date_index11,date_index12,date_index13,date_index14,date_index15,date_index16,date_index17,date_index18,date_index19,date_index2,date_index20,date_index21,date_index22,date_index23,date_index24,date_index25,date_index26,date_index27,date_index28,date_index29,date_index3,date_index30,date_index31,date_index32,date_index33,date_index34,date_index35,date_index36,date_index37,date_index4,date_index5,date_index6,date_index7,date_index8,date_index9
The Big Short,15,16,93,77,55,54,67,78,97,100,83,47,17,42,43,38,50,75,70,51,35,39,63,23,67,82,77,61,43,39,40,47,23,19,29,47,48,73
Taking Woodstock,28,28,46,30,31,34,33,39,49,31,22,16,30,18,22,31,19,14,15,11,11,13,28,23,19,18,17,14,12,19,13,15,27,38,33,69,100,80
Miracle,24,41,45,33,34,25,24,38,38,32,32,24,32,25,28,32,36,32,22,22,23,26,29,29,30,22,27,25,24,25,22,40,25,36,32,48,100,39
Dawn of the Dead,18,20,100,0,35,35,32,45,52,33,27,20,20,18,16,20,25,20,15,14,15,17,18,25,15,0,0,9,13,15,14,15,34,36,40,73,89,71
Harlock: Space Pirate,13,22,30,28,33,23,52,85,100,53,34,43,12,42,40,76,62,23,33,28,30,23,51,12,36,32,22,18,21,18,23,35,8,7,4,14,23,28
Last Vegas,26,25,45,32,30,30,41,70,56,37,30,29,30,35,47,72,65,31,29,32,28,48,63,26,57,36,33,34,37,46,53,45,29,32,27,70,100,80
Safe Haven,23,22,88,67,47,35,34,41,59,55,28,22,27,23,23,32,42,43,22,20,22,22,24,28,32,34,19,16,15,16,17,26,33,35,42,68,94,100
No Reservations,23,64,47,36,39,46,57,72,55,46,48,29,30,26,34,46,41,30,24,29,29,34,32,32,44,26,19,20,27,28,54,28,26,40,45,68,100,76
Kick-Ass,18,20,54,39,36,32,32,51,49,27,22,19,24,18,22,29,28,21,15,13,14,14,40,18,41,22,20,20,19,21,27,27,24,24,30,64,100,87
30 Minutes or Less,24,21,53,41,38,27,34,48,45,26,24,25,20,23,20,27,27,17,17,17,16,18,25,26,28,22,16,14,16,17,20,19,31,40,43,87,100,99
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",3,3,30,17,14,21,25,86,54,11,26,28,4,30,46,83,63,18,20,23,21,38,100,5,71,27,27,19,21,38,72,51,7,12,22,34,46,44
Pride & Prejudice,47,41,61,69,77,45,19,54,28,100,96,39,37,52,26,7,7,40,20,38,13,33,28,21,15,31,51,7,48,22,38,27,50,40,39,48,38,32
3 Days to Kill,18,19,65,46,46,54,66,92,77,44,34,38,22,38,42,68,59,34,26,30,29,48,49,21,47,30,29,28,30,30,41,33,22,24,43,87,99,100
We Own the Night,16,17,62,36,42,45,52,71,57,36,25,31,23,29,38,45,39,24,24,23,25,25,40,20,28,16,14,13,18,19,20,23,28,31,44,92,100,84
Just My Luck,31,35,53,26,33,32,33,56,53,22,15,21,24,27,36,55,37,30,22,24,25,35,30,11,35,37,16,26,19,16,28,33,31,29,25,72,100,78
The Spy Next Door,16,22,54,29,29,26,54,80,81,32,30,30,19,25,30,53,49,19,19,22,22,29,32,6,38,26,52,67,44,58,60,69,20,20,35,52,100,78
Our Brand Is Crisis,6,11,44,38,29,35,50,76,51,23,29,28,8,19,15,13,12,6,6,5,6,6,5,11,4,4,1,2,3,3,4,3,20,23,31,83,100,74
Pride and Prejudice and Zombies,21,22,42,28,31,36,41,65,74,44,30,31,21,26,28,37,29,17,15,13,18,15,20,23,18,11,10,11,9,16,38,38,25,33,40,66,100,73
How to Lose Friends & Alienate People,30,15,32,48,27,17,17,67,45,59,26,32,29,27,11,29,14,5,5,16,11,17,22,5,28,21,22,14,21,17,15,28,28,17,29,83,82,100
Kick-Ass 2,25,26,78,55,53,48,54,67,69,43,39,38,22,35,51,59,63,46,33,31,33,31,41,31,40,23,22,21,19,21,36,33,34,41,50,70,100,83
Brick Mansions,27,36,41,32,30,43,48,60,55,30,25,26,41,26,29,37,37,21,23,17,19,21,25,25,26,15,13,13,13,15,18,18,31,45,51,72,100,68
Knocked Up,11,15,69,53,53,49,59,68,56,48,38,31,14,28,32,45,47,34,26,26,24,29,35,13,40,25,21,21,17,22,24,28,12,19,26,67,91,100
My Sister's Keeper,32,40,71,76,57,53,52,54,46,45,44,44,39,37,38,47,50,29,32,31,27,28,31,42,34,33,30,23,29,29,29,30,56,58,59,94,100,90
"Welcome Home, Roscoe Jenkins",0,0,37,0,0,76,40,100,98,0,72,72,0,74,38,48,0,35,0,71,0,0,0,0,47,35,0,0,0,0,0,0,0,0,0,40,0,0
Notes on a Scandal,45,53,76,39,53,49,88,78,97,67,45,45,28,39,59,70,68,63,44,33,49,52,92,43,81,44,44,31,57,73,99,96,63,67,54,62,100,86
Rendition,31,31,50,41,44,43,59,63,53,33,36,34,23,36,35,45,38,31,23,26,24,25,29,27,27,14,17,14,19,15,20,16,29,36,41,95,100,78
The Sisterhood of the Traveling Pants 2,44,54,93,85,62,53,37,40,50,49,54,38,47,29,35,36,36,51,37,30,29,28,18,46,26,36,34,21,20,23,20,25,53,61,56,90,100,94
Joyful Noise,20,14,67,35,29,22,34,59,45,23,18,16,20,20,25,35,32,15,13,11,9,14,23,15,18,9,12,11,8,10,13,11,22,25,36,63,100,87
Lucky Number Slevin,19,21,59,37,43,38,71,69,99,48,35,29,30,34,55,65,50,26,31,25,19,16,35,18,45,21,21,18,14,11,18,37,24,15,28,73,100,93
Anonymous,11,12,20,22,26,27,57,100,51,26,19,17,11,15,17,15,15,15,13,13,13,13,14,13,14,12,12,12,11,11,11,11,14,14,15,15,17,18
The Duchess,70,68,56,43,37,28,49,74,50,33,31,32,66,32,33,41,54,26,20,23,29,28,38,58,35,27,30,25,25,25,37,42,42,49,67,69,100,97
Case 39,19,23,42,31,24,18,29,51,33,24,18,14,17,14,19,24,25,14,12,13,9,13,17,17,19,11,11,8,9,10,15,16,24,34,34,73,100,75
Suspect Zero,18,0,58,31,21,43,35,89,53,41,41,15,0,10,22,16,16,15,20,5,5,16,33,38,16,20,19,10,0,16,8,8,16,65,38,100,82,78
Martian Child,11,16,30,24,29,20,40,66,50,30,21,12,7,15,21,36,41,6,29,21,23,26,40,13,19,11,8,6,5,3,4,15,15,31,38,100,73,72
Spy Kids: All the Time in the World in 4D,15,35,94,67,40,53,43,16,83,0,13,26,0,27,83,49,32,13,13,0,0,14,0,43,31,0,25,0,13,0,0,16,28,0,27,43,35,100
Money Monster,7,7,36,32,27,23,40,60,47,25,22,22,8,27,40,57,54,43,32,29,27,32,46,10,37,18,17,14,14,17,27,21,10,15,35,69,100,68
Mindhunters,0,10,52,16,50,40,25,28,45,45,39,29,45,31,33,48,48,25,11,11,6,12,46,66,54,11,0,11,6,6,28,9,39,28,58,81,64,100
What Just Happened,38,48,21,25,20,10,32,34,47,10,40,10,27,25,37,40,59,53,25,25,20,37,86,35,52,29,39,56,61,86,94,71,15,26,26,34,100,60
The Statement,52,0,39,25,66,34,23,11,34,0,0,20,8,67,14,25,16,15,56,26,36,51,33,57,32,69,0,59,0,29,25,51,38,21,16,40,17,100
Paul Blart: Mall Cop,11,14,86,45,24,35,39,51,68,35,32,18,21,15,23,55,42,28,16,15,23,15,43,6,36,24,40,32,25,25,40,36,22,22,21,64,100,64
The 40-Year-Old Virgin,12,0,100,10,52,0,33,49,32,30,0,40,17,0,0,0,16,22,10,10,0,0,0,11,0,9,9,9,0,0,0,0,0,0,11,46,50,16
A Walk Among the Tombstones,12,16,33,29,27,31,44,61,51,26,33,58,13,49,54,70,51,30,29,24,18,20,31,14,28,17,14,15,13,17,27,22,17,25,37,69,100,74
Pineapple Express,25,30,85,80,57,54,41,35,42,60,43,28,31,28,24,21,23,29,29,19,14,16,14,33,16,20,18,15,13,13,14,15,36,47,58,100,93,100
Flatliners,10,12,35,33,27,23,35,56,53,28,21,17,13,16,22,31,26,11,13,14,14,12,19,12,15,8,7,7,6,7,9,8,16,16,28,67,100,79
Red Eye,29,27,56,44,58,43,48,67,60,43,40,36,27,38,36,67,56,42,38,33,30,34,64,27,48,34,31,27,25,38,52,39,30,39,46,77,100,94
Legion,27,28,69,64,49,41,43,55,51,50,54,41,30,36,36,51,47,49,50,36,36,37,49,35,44,48,48,37,35,35,52,50,38,48,34,44,100,87
Pain & Gain,17,21,92,50,52,46,55,48,77,54,39,29,42,32,28,52,54,31,23,22,39,32,38,20,38,23,18,22,27,18,24,27,30,40,50,88,89,100
In Good Company,29,34,57,40,24,37,54,67,70,26,25,15,40,15,29,64,50,25,22,20,14,41,38,34,23,14,15,11,20,28,23,29,41,42,41,61,100,96
Brothers,78,87,91,85,79,77,79,89,89,82,77,75,85,75,76,86,91,80,80,80,78,80,90,84,98,83,86,89,96,98,100,100,77,75,78,82,98,95
Agent Cody Banks 2: Destination London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98
New Year's Eve,3,3,7,7,7,6,6,7,8,9,9,9,5,8,8,7,9,15,22,26,30,45,100,5,64,10,6,4,3,2,3,2,6,6,6,7,7,8
The Raven,39,38,55,48,40,34,39,50,41,33,33,26,42,24,34,38,42,25,21,32,33,26,35,38,28,24,25,20,22,19,21,25,49,50,61,93,100,90
Welcome to Mooseport,0,25,37,8,7,19,28,41,71,9,7,0,30,0,0,0,0,0,0,9,0,10,35,15,11,14,7,7,0,8,0,0,22,7,34,53,100,34
Accidental Love,2,2,59,61,45,27,27,18,21,23,28,30,2,11,11,8,8,10,16,8,10,8,7,4,9,8,8,12,4,9,4,8,3,3,1,41,100,49
Self/less,5,5,42,55,44,36,62,84,65,30,36,32,3,30,17,25,24,12,12,12,8,10,13,5,16,7,8,7,8,9,9,8,9,14,32,71,100,87
The Constant Gardener,33,16,100,90,53,36,17,15,24,32,40,29,35,12,20,14,31,37,34,14,19,14,24,24,13,34,12,10,4,14,10,13,23,8,14,42,24,48
The Passion of the Christ,19,19,63,100,48,38,44,24,40,22,60,0,22,0,16,21,17,21,24,16,16,16,14,22,16,19,18,18,0,16,11,17,30,33,41,70,79,66
Gran Torino,55,51,82,38,37,41,50,72,76,46,40,36,51,40,41,58,60,36,28,26,22,26,41,43,36,24,21,21,21,23,37,34,28,30,36,64,90,100
W.,76,67,96,82,78,82,85,72,63,85,86,77,61,65,66,59,63,76,79,82,79,72,61,75,58,71,72,82,68,74,57,47,75,77,75,100,76,83
Taken,55,60,65,58,58,62,62,70,63,60,56,51,60,55,57,62,57,58,56,59,69,60,64,57,59,56,59,53,59,56,63,62,52,54,58,63,100,72
The Best of Me,31,36,53,38,40,38,51,70,57,35,34,36,30,36,40,63,58,35,32,26,26,32,44,33,40,25,28,22,21,24,31,30,30,43,53,88,100,88
The Help,41,45,97,100,82,68,58,59,65,69,79,69,42,52,52,47,48,57,63,56,44,47,43,40,46,57,64,63,57,47,47,44,44,48,52,77,87,83
The Fifth Estate,73,80,54,33,36,38,52,48,43,32,30,30,61,20,27,26,23,17,14,11,11,16,19,55,25,14,14,14,18,13,22,21,45,57,73,100,91,78
Scooby-Doo 2: Monsters Unleashed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,100,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Viy,41,29,71,63,68,57,58,56,67,54,36,31,25,42,32,47,35,61,23,27,30,37,27,52,52,64,48,40,50,49,51,60,34,29,43,35,80,100
The Face of an Angel,4,5,18,25,19,23,21,21,22,13,9,12,2,11,19,19,20,11,9,10,14,15,17,4,16,10,12,8,7,10,8,16,10,6,13,56,100,66
Cloverfield,14,16,62,47,32,29,26,34,30,24,18,16,21,18,24,31,30,18,17,15,14,15,17,17,17,11,9,8,8,9,12,12,20,24,33,71,100,76
No Country for Old Men,32,44,95,100,60,49,39,36,54,62,63,49,64,27,30,45,45,63,52,47,33,33,39,79,46,51,54,41,36,29,33,33,64,55,42,54,70,87
Ride Along,11,15,63,38,29,28,36,61,57,31,23,21,16,18,27,51,47,28,25,22,19,22,39,12,40,21,17,18,19,24,38,34,14,17,24,57,100,85
Parental Guidance,11,12,84,100,89,80,92,60,55,64,83,62,18,31,32,30,30,41,53,55,21,19,15,22,19,26,46,39,31,18,17,16,19,28,30,88,92,83
No Strings Attached,24,24,64,42,43,37,50,66,65,39,34,30,20,30,39,62,59,35,29,34,36,51,77,23,78,54,46,42,36,49,55,62,23,25,28,68,100,89
Final Destination 3,33,35,54,45,40,31,43,62,71,40,34,33,41,30,28,42,59,24,24,19,20,19,37,29,30,15,16,16,19,18,25,28,26,36,37,62,100,89
The Lucky One,25,31,55,44,44,45,48,62,63,45,36,30,32,32,36,49,45,29,25,24,23,22,31,32,34,22,20,16,21,23,28,28,41,39,48,87,100,85
Bridge to Terabithia,21,28,60,48,40,29,32,87,59,36,14,23,27,19,29,54,44,23,20,19,21,21,39,16,39,26,19,19,16,18,35,27,18,18,27,76,100,86
Finding Neverland,40,37,54,37,21,41,28,67,79,55,65,58,50,56,100,84,82,57,45,27,38,50,83,52,54,41,42,30,37,30,37,57,25,23,19,47,42,49
A Madea Christmas,10,19,68,47,45,56,45,69,85,73,94,94,23,85,79,67,63,61,52,42,37,32,43,20,33,20,21,14,11,16,20,20,23,31,20,58,77,100
The Grey,17,18,64,43,43,37,42,60,55,32,30,26,25,24,28,37,37,23,23,21,22,24,42,22,62,44,36,31,30,33,45,37,22,22,28,60,100,92
Hide and Seek,26,26,61,32,30,27,37,59,25,18,33,17,24,26,36,46,42,24,20,24,21,27,26,17,25,29,14,23,18,28,33,36,33,26,42,98,100,84
Anchorman: The Legend of Ron Burgundy,0,0,0,0,0,0,0,0,0,0,60,62,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,67,0,100
Nanny McPhee,11,27,51,23,21,30,37,80,56,27,27,19,34,15,35,93,53,31,33,30,29,26,56,34,58,38,28,17,28,24,51,26,34,20,33,79,100,90
Contraband,13,14,81,48,38,36,46,68,60,33,26,26,24,25,27,40,48,22,18,18,17,20,31,19,25,17,14,13,13,14,21,19,24,25,35,75,100,98
There Will Be Blood,41,52,42,29,34,31,47,67,52,30,34,24,57,27,50,62,62,48,35,36,38,44,66,42,65,46,34,34,35,52,88,100,75,50,38,58,65,69
The Sisterhood of the Traveling Pants,18,17,100,96,44,42,47,31,31,35,33,33,24,28,15,27,24,29,31,22,20,26,12,48,17,34,19,13,10,17,16,12,32,27,21,64,54,70
The House Bunny,15,12,49,35,38,39,31,65,58,45,25,17,28,21,24,44,43,18,22,16,13,17,28,15,26,21,16,16,15,16,34,34,29,23,37,65,97,100
Beauty Shop,22,38,100,77,44,0,36,29,18,52,51,28,17,28,32,25,31,27,84,20,31,16,9,50,27,33,19,60,12,20,32,18,29,24,25,80,52,78
Million Dollar Arm,48,58,46,28,28,25,32,53,57,48,28,21,53,18,23,34,36,18,13,15,15,17,24,38,25,15,14,14,13,15,19,18,39,42,43,75,100,87
The Giver,18,24,47,38,33,29,36,52,42,25,24,23,22,23,30,40,41,33,20,19,18,24,37,34,33,19,19,20,26,48,64,64,35,34,45,91,100,73
Good Luck Chuck,14,19,51,37,28,31,32,56,58,38,22,30,26,19,23,39,37,26,20,14,15,19,19,18,26,13,11,11,11,15,20,14,23,23,32,61,100,80
She's the Man,6,10,38,29,25,24,27,63,61,39,26,30,8,22,38,84,63,22,25,23,25,33,45,10,38,24,20,25,36,36,48,44,9,14,18,42,75,100
Mr. Bean's Holiday,10,27,18,17,18,27,0,26,89,37,26,0,26,9,19,49,0,8,0,17,0,9,37,36,36,0,17,0,0,27,24,12,35,18,18,100,80,65
Anacondas: The Hunt for the Blood Orchid,59,0,0,0,0,51,56,0,0,57,0,0,0,100,0,0,0,0,0,0,51,0,0,52,0,0,0,0,0,53,0,0,0,0,53,0,88,83
Blood Ties,21,20,81,63,46,35,33,32,36,25,59,24,30,20,14,22,23,25,34,16,12,16,13,30,16,17,10,13,14,11,5,10,98,46,59,100,73,76
August Rush,14,17,91,100,46,41,38,37,49,68,67,34,26,25,26,27,33,46,34,26,17,18,21,32,22,38,41,20,19,20,23,22,36,22,28,41,61,84
The Sitter,15,14,49,47,34,31,37,51,52,38,56,48,27,46,39,40,53,55,38,50,48,41,41,23,54,48,37,27,32,27,33,36,30,30,35,70,100,79
Dance Flick,19,22,58,38,32,28,48,60,43,17,25,21,21,14,21,31,26,17,11,12,13,12,12,15,14,9,8,11,7,6,15,15,22,33,39,66,100,80
The Gambler,9,11,90,58,53,58,82,74,74,56,29,25,11,24,30,59,72,62,32,26,26,22,24,13,33,33,21,18,16,17,19,27,12,17,35,100,98,94
August: Osage County,37,42,46,35,37,49,52,82,71,49,41,32,37,33,39,64,62,32,28,27,25,27,42,31,38,20,18,21,16,18,28,31,32,56,62,76,100,76
Ice Princess,16,23,58,22,40,39,67,52,52,63,28,45,32,20,33,45,46,45,0,24,19,16,47,21,36,19,30,15,17,25,14,26,29,34,44,78,100,87
A Lot Like Love,3,4,39,11,19,29,27,35,57,13,14,18,6,9,12,38,27,11,16,12,15,12,17,9,13,16,8,10,8,9,17,27,9,7,19,35,100,67
Eddie the Eagle,22,29,32,23,20,19,33,60,51,22,19,21,32,16,24,41,34,20,19,17,26,26,46,22,31,21,17,18,24,19,28,32,41,30,53,69,100,73
Dear John,21,22,70,49,34,32,33,42,43,29,22,17,23,17,19,23,25,14,14,13,13,15,19,24,17,14,13,13,13,15,20,16,32,31,34,63,100,86
The Losers,16,26,57,38,38,42,43,82,70,39,32,60,25,85,77,100,78,52,38,39,41,43,59,26,56,35,33,24,25,37,44,35,25,37,41,94,100,89
Don't Be Afraid of the Dark,25,26,48,48,37,25,42,62,52,34,23,24,26,19,21,33,26,19,13,10,15,16,25,28,35,22,12,16,11,17,27,21,29,36,45,87,100,80
War,61,69,66,64,69,64,69,75,80,69,67,66,75,73,71,80,88,70,72,73,75,72,82,60,92,76,78,77,73,75,86,100,59,59,61,66,77,84
EuroTrip,11,22,60,24,30,28,18,59,100,23,16,31,14,22,22,13,63,0,0,5,26,8,8,26,20,5,6,8,7,13,11,9,22,17,24,40,91,87
Unaccompanied Minors,23,39,43,37,33,39,30,97,86,44,28,40,69,24,74,43,29,20,51,84,51,62,50,47,9,64,35,33,16,40,22,22,21,49,22,78,86,100
The Greatest Game Ever Played,26,47,36,35,35,12,64,72,71,36,29,24,18,23,19,45,78,6,11,17,29,31,35,29,50,6,6,11,0,19,9,0,52,100,60,84,84,64
The Box,51,50,58,53,57,53,58,72,65,57,46,52,53,48,49,59,63,53,47,46,45,46,61,51,55,46,48,46,51,51,57,68,51,53,59,83,100,79
The Ruins,21,25,50,45,38,34,33,72,55,28,21,31,28,23,30,36,36,20,16,15,18,20,31,25,13,14,14,11,17,14,19,16,32,27,36,90,100,90
My Soul to Take,22,32,51,32,26,30,42,55,48,29,21,16,29,19,22,23,28,13,11,11,15,12,21,29,10,11,9,9,9,6,10,8,28,33,38,88,100,61
Legend,74,81,73,77,77,76,79,86,88,73,75,73,81,73,76,91,87,78,78,76,99,89,100,69,94,76,77,76,76,80,89,86,66,70,73,78,88,85
Hot Rod,48,37,62,67,62,63,68,81,66,46,49,52,38,45,53,57,45,41,41,36,36,43,43,44,49,36,38,34,25,39,33,43,45,43,51,78,100,77
Shark Night 3D,18,24,58,38,28,21,29,46,36,22,15,18,32,18,18,30,22,16,20,19,20,16,23,23,26,17,15,15,10,14,16,12,23,27,37,81,100,88
Draft Day,29,21,22,21,17,21,25,27,25,18,14,14,20,13,13,17,18,10,10,10,10,12,14,16,14,11,11,13,46,100,58,17,18,20,24,39,43,36
The Conspirator,31,34,47,34,29,27,48,61,54,22,16,17,31,15,23,31,28,14,8,12,13,17,22,33,24,9,12,8,12,14,24,17,64,41,51,97,100,72
Lords of Dogtown,20,20,48,42,40,35,36,43,36,27,19,21,31,12,18,30,22,9,10,13,4,14,20,27,20,2,10,4,4,10,7,6,29,49,47,78,100,98
The 33,17,22,39,40,60,58,73,90,80,43,38,33,20,27,41,52,40,22,23,18,18,18,23,21,26,14,15,17,14,14,18,21,23,34,38,74,100,78
A Perfect Plan,44,45,70,17,29,28,14,14,0,0,51,43,16,14,72,44,60,51,17,14,43,14,15,53,15,51,100,28,14,0,14,88,51,99,14,30,15,31
Warrior,61,70,76,71,73,85,76,97,97,67,66,69,82,63,67,85,86,61,58,57,57,61,79,65,82,59,55,57,54,56,64,69,58,61,66,79,100,95
Stop-Loss,13,36,39,21,24,37,28,52,38,21,27,24,37,12,13,19,18,9,7,8,15,15,11,30,12,6,9,8,8,7,4,4,32,39,49,77,100,75
The Possession,31,36,87,56,43,39,53,70,66,43,36,32,34,27,32,49,41,27,22,27,21,28,34,28,33,19,18,20,16,22,27,27,32,36,51,87,100,99
Straw Dogs,33,27,45,33,28,20,28,40,38,20,18,14,42,15,18,21,18,12,13,11,12,12,12,28,13,8,6,10,9,11,14,11,33,39,51,95,100,78
The Hoax,42,66,21,25,25,38,38,63,30,26,34,23,44,27,25,28,25,21,27,16,11,21,20,19,23,14,23,12,24,22,28,16,26,21,54,86,100,48
The Road,64,61,59,53,56,56,57,60,59,53,60,64,63,63,61,69,68,65,60,67,61,85,97,54,100,88,75,77,71,76,86,79,55,56,50,61,62,59
Underclassman,0,0,23,34,21,42,15,43,41,7,20,7,0,7,30,0,31,0,7,13,7,0,11,0,0,0,6,7,0,15,0,0,0,7,14,54,34,100
The World's Fastest Indian,44,41,66,0,0,14,0,82,41,0,27,41,0,28,74,20,40,41,27,14,0,36,0,40,0,15,0,27,14,15,40,39,13,40,27,86,100,20
Snakes on a Plane,21,21,54,35,34,23,23,24,25,14,12,11,21,11,10,13,14,8,7,6,6,5,9,22,8,4,4,4,4,4,4,3,33,35,46,87,100,74
King's Ransom,17,0,15,0,31,47,34,50,100,33,31,0,0,0,34,25,24,14,0,0,0,16,24,15,0,0,0,0,0,0,25,0,0,0,17,52,75,49
Blindness,37,28,40,45,42,41,37,37,38,38,31,25,34,26,29,29,31,21,23,23,27,24,29,29,31,23,22,29,29,23,25,36,38,45,50,77,100,69
BloodRayne,24,43,57,44,38,32,27,48,37,26,22,28,25,17,23,20,26,13,10,17,9,20,43,21,26,13,29,14,17,16,22,25,31,18,42,83,100,71
The Last Witch Hunter,18,22,54,49,45,48,62,85,99,54,49,43,20,38,46,73,58,30,30,31,24,28,42,19,38,21,20,17,16,19,26,25,22,32,54,92,100,87
Red Planet,38,34,27,27,29,32,32,25,28,29,31,21,21,30,28,35,34,100,41,34,29,33,32,29,27,30,24,23,23,30,29,27,41,33,25,32,36,28
Arthur and the Invisibles,19,29,48,23,26,30,39,78,66,39,35,19,22,17,53,53,57,28,25,27,24,32,78,14,48,16,18,17,7,15,53,41,36,29,49,47,100,77
Oceans,38,36,91,57,56,50,43,49,52,49,44,42,36,40,43,43,51,48,35,43,46,38,36,54,38,47,39,38,39,30,38,46,50,46,64,100,87,87
A Sound of Thunder,41,42,79,55,51,42,71,54,46,29,10,20,41,20,16,31,15,20,29,20,15,33,0,32,8,19,29,0,15,16,0,0,41,42,26,69,100,66
Pompeii,24,27,61,52,46,47,53,64,62,44,36,39,33,31,36,44,44,30,27,28,25,28,33,33,33,24,23,22,25,27,31,29,33,39,53,76,100,98
Journey 2: The Mysterious Island,44,56,45,42,38,37,51,72,64,55,26,27,49,29,29,50,46,22,17,20,16,21,35,35,29,18,13,16,16,20,32,29,35,49,51,75,100,86
Cloudy with a Chance of Meatballs 2,20,28,39,26,28,29,40,58,53,26,21,20,28,22,37,50,52,33,22,19,22,26,39,20,37,19,16,16,17,22,36,34,17,19,27,61,100,84
Hidalgo,27,30,0,0,25,53,37,44,48,33,34,27,63,29,45,38,26,36,0,18,39,40,44,20,51,37,31,23,28,40,34,29,46,64,35,88,56,100
Jack and Jill,15,20,37,29,26,22,31,46,41,31,27,26,20,30,31,45,37,22,24,20,20,27,39,20,29,17,21,18,16,17,23,24,20,21,32,75,100,73
The Little Prince,13,21,63,52,44,33,42,54,43,38,30,32,27,26,21,28,42,29,24,26,26,22,30,16,35,25,28,19,23,20,28,26,19,21,21,66,100,92
The Invasion,25,24,69,51,32,37,51,48,63,33,26,35,21,24,32,47,40,31,29,30,30,29,31,35,29,24,18,25,21,22,20,23,28,37,36,98,88,100
The Secret Life of Pets,19,27,52,45,36,36,39,54,57,33,26,30,24,31,39,63,64,38,35,29,30,35,50,20,49,29,29,26,26,27,35,33,23,30,43,73,100,88
Despicable Me 2,23,23,100,95,63,54,53,50,57,70,65,43,32,38,37,37,43,53,54,35,32,33,31,42,32,42,43,28,26,26,25,27,45,40,51,79,79,81
Madagascar,29,30,71,58,52,50,54,76,78,52,46,51,35,53,60,69,81,56,50,52,53,68,82,32,94,69,62,60,62,68,91,100,40,43,51,71,96,85
Children of Men,43,36,51,34,38,26,50,82,64,48,29,29,29,23,25,42,40,18,21,18,19,23,41,33,37,17,14,15,15,13,28,21,36,37,39,82,100,79
Wanted,34,44,66,56,53,46,47,56,59,45,39,41,42,40,42,52,52,40,38,34,36,37,45,33,43,36,32,31,32,32,42,52,37,40,45,69,100,89
Ice Age: The Meltdown,18,19,49,44,20,34,29,27,44,28,13,15,24,39,30,56,27,28,15,15,25,13,35,19,17,10,10,6,12,14,27,17,26,10,25,49,100,51
50 First Dates,18,31,72,71,28,37,31,51,49,41,21,19,17,23,18,40,95,23,24,28,19,22,21,16,96,0,0,8,7,18,16,30,18,22,24,53,89,100
Hairspray,32,28,71,64,54,60,60,68,77,54,50,51,34,48,43,53,53,40,36,32,32,35,44,30,40,32,32,30,26,27,42,39,32,39,40,76,100,85
Exorcist: The Beginning,11,17,54,43,22,29,17,36,21,22,18,19,17,3,0,31,15,14,3,12,6,7,15,13,0,11,0,9,6,3,10,5,55,30,40,100,27,60
Now You See Me,19,19,61,47,49,51,67,83,80,50,43,43,18,43,48,64,62,42,36,34,33,38,52,16,50,36,30,31,29,34,49,46,17,20,35,72,100,100
Grown Ups,15,14,66,53,50,44,55,66,58,56,41,40,19,36,58,82,68,45,41,41,39,42,47,21,65,37,34,30,31,34,51,53,23,23,41,83,94,100
The Terminal,49,46,60,61,40,41,40,60,78,37,33,36,40,65,52,23,45,29,28,26,30,20,31,25,22,27,31,9,33,33,10,28,33,35,35,96,100,94
Hotel for Dogs,21,42,80,41,30,25,49,92,87,36,25,26,45,33,45,58,70,25,22,20,28,37,68,24,41,22,14,22,20,24,51,46,37,39,39,82,100,88
Charlie Wilson's War,18,15,34,40,35,35,46,58,55,100,99,61,15,39,46,56,47,44,29,40,31,43,56,9,62,28,24,24,22,18,33,36,16,8,21,35,35,48
Shark Tale,39,26,52,51,37,46,46,81,81,63,45,42,33,40,53,71,77,48,36,38,32,34,55,39,62,35,34,33,32,22,61,49,37,35,45,63,100,72
Dreamgirls,26,21,76,68,70,86,70,62,50,42,41,50,28,48,42,31,27,37,39,43,56,44,71,24,55,41,41,52,63,45,78,49,32,42,31,84,100,88
Be Cool,20,52,44,36,33,23,39,56,55,32,22,24,19,29,33,50,55,29,20,32,28,30,45,14,47,34,33,32,38,33,56,69,28,27,42,71,100,74
Munich,67,70,56,54,50,41,45,60,55,55,48,46,64,42,43,58,64,58,47,65,68,70,93,74,100,78,74,62,66,72,100,84,71,48,50,63,78,65
Killers,35,50,65,57,57,58,63,80,67,49,44,48,43,48,49,67,71,51,50,42,46,53,53,42,51,42,42,42,44,41,55,60,44,49,56,78,100,88
The Man from U.N.C.L.E.,2,4,44,40,18,19,37,64,54,30,30,26,2,27,42,62,47,22,28,18,20,28,50,6,50,40,17,12,12,23,32,21,11,14,31,69,100,88
Spanglish,29,30,42,23,36,45,51,48,57,50,39,24,21,46,71,69,40,32,26,17,20,40,37,34,29,16,22,23,19,20,32,36,31,34,45,100,89,57
